"Taxa","weight","B11","Na23","Mg25","Al27","P31","S34","K39","Ca43","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","As75","Se82","Rb85","Sr88","Mo98","Cd111"
"B68",2.851798246805,2.04255040407886,2.48236414018692,2.57423904734985,0.997850489199818,3.83275761729061,4.69530664462589,3.0157082759377,1.91069281273388,3.24693792991091,0.312001724725376,4.63949002790096,3.22782920849116,1.38738885265879,0.001,3.23748657945977,2.34898090765596,4.14113181751218,1.40635458034464,3.55585165730923,3.36393342676733
"B73",2.90605270031749,2.47321624758458,2.75636898744922,1.61790586574837,1.84692776479418,2.21879006888741,3.95713604700933,2.87023734622591,3.13827488717292,2.21357209089915,1.70556825644754,5.92878116406332,3.73488189273972,2.27155183910714,2.15196837623075,3.4176074491584,2.50391995171871,3.40185464704827,2.5756538378187,2.84937257903429,3.15958449473967
"B73HTRHM",3.66049534060315,2.15882982173346,2.73853290743852,1.67148534163242,2.38774621734771,2.34692738741173,4.85220716497066,2.17813499322167,2.69598811565252,1.60072084622105,1.97474329228289,5.50849697493877,3.01560289980023,1.77864424384631,1.52811326586967,2.41535185671782,0.961450353980993,2.44818166222152,2.14757544829542,2.81794315944545,3.50088790132863
"B75",3.62420041012452,2.17396502840928,1.32454573842922,3.66588473928045,1.62082961974036,3.39985603456291,4.44237149600521,2.17868145015986,1.91335891871072,2.90431180700799,1.53726043101805,7.75955202661708,3.83191575163311,0.74672657677719,2.11165328214376,2.75023023014153,1.00709400661227,2.43668102430064,2.40380398810882,2.28579085110538,3.93045516152723
"B76",2.81783486704975,2.22903145772522,3.65531267320349,2.8525213472171,1.52701276529034,2.98300444113806,3.57150616518717,2.44492978106647,3.27977942994269,3.42380052494275,2.57549749161247,5.22118623891083,3.79690759561846,3.03417635697292,1.95639099422385,3.14842410980014,1.59372872382863,2.21656999706716,2.41388281754196,3.58862617165715,4.25265612035972
"B77",4.09806211227439,4.41289149613009,1.25720318007541,2.70153306431819,0.786258605282863,3.88772265172672,3.89405762131731,4.27017715278267,3.4137927496157,2.92969349470075,2.09122790711736,6.37258584418224,3.22643566400995,1.28009081805941,1.92092762738768,2.52695707520395,1.35322336502211,4.01795070743143,3.63691366783557,3.62309031029485,2.78489154563304
"B79",3.34616543752882,1.80469057044637,1.51051835391953,2.6613440995931,2.18583181114535,2.66018227309576,2.97630052223307,2.97407742174443,3.94636269312349,2.60006001368138,2.4828661855423,6.85749486605439,3.49686957953139,3.08892744732271,2.26976190513846,3.37850253302948,1.34134066587817,3.54569382324532,4.21934455154931,4.26422652799333,3.23423378265754
"B84",2.24679907230338,1.28225374010562,1.29883902994622,2.04735296715483,2.33920628797883,2.24877833214729,3.72770893681245,3.51321116312518,3.54602805008869,3.20113723334549,0.861383203926429,6.76465255623845,4.11421615784747,0.983345853985503,1.13030392694335,3.10931908251848,2.54897212256331,4.53900528912948,2.85375886594351,3.28595038283061,3.64897131177058
"B97",2.36227412735947,2.36779827710549,2.24111631894999,3.30597779555196,1.84986345199384,2.18058056707618,2.81548910061496,1.7470226972432,4.57894673745357,3.11637536420873,2.29151015033609,7.64382120760517,4.15620544747998,3.60416820825713,2.85427683629018,3.90338531903966,2.65265059703863,2.50018777618703,4.72163947692448,3.67940793920027,3.30659724623071
"C103",2.16053365647238,2.85352863206264,2.64578827571667,1.76307068824005,2.74091324953619,2.73501971517277,2.65874564797145,2.95170086172042,1.9139067497537,2.6772625516865,1.0550784349571,7.07109949904161,4.55058852934395,2.77636121940144,1.50367607709991,4.09981321088268,2.42112511733254,3.31442185802735,1.38589103108213,4.81679374935887,4.47619274989948
